Date,Open,High,Low,Close,%Change
12-10-2020,11973.5498,12022.0498,11867.2002,11930.9502,-0.36%
13-10-2020,11934.65039,11988.2002,11888.90039,11934.5,0.00%
14-10-2020,11917.40039,11997.2002,11822.15039,11971.0498,0.45%
15-10-2020,12023.4502,12025.4502,11661.2998,11680.34961,-2.94%
16-10-2020,11727.40039,11789.75,11667.84961,11762.4502,0.30%
19-10-2020,11879.2002,11898.25,11820.40039,11873.0498,-0.05%
20-10-2020,11861,11949.25,11837.25,11896.7998,0.30%
21-10-2020,11958.5498,12018.65039,11775.75,11937.65039,-0.18%
22-10-2020,11890,11939.5498,11823.4502,11896.4502,0.05%
23-10-2020,11957.90039,11974.5498,11908.75,11930.34961,-0.23%
26-10-2020,11937.40039,11942.84961,11711.7002,11767.75,-1.44%
27-10-2020,11807.09961,11899.0498,11723,11889.40039,0.69%
28-10-2020,11922.59961,11929.40039,11684.84961,11729.59961,-1.65%
29-10-2020,11633.2998,11744.15039,11606.4502,11670.7998,0.32%
30-10-2020,11678.4502,11748.9502,11535.4502,11642.40039,-0.31%
02-11-2020,11697.34961,11725.65039,11557.40039,11669.15039,-0.24%
03-11-2020,11734.4502,11836.2002,11723.2998,11813.5,0.67%
04-11-2020,11783.34961,11929.65039,11756.40039,11908.5,1.05%
05-11-2020,12062.40039,12131.09961,12027.59961,12120.2998,0.48%
06-11-2020,12156.65039,12280.40039,12131.84961,12263.5498,0.87%
09-11-2020,12399.40039,12474.0498,12367.34961,12461.0498,0.49%
10-11-2020,12556.40039,12643.90039,12475.25,12631.09961,0.59%
11-11-2020,12680.59961,12769.75,12571.09961,12749.15039,0.54%
12-11-2020,12702.15039,12741.15039,12624.84961,12690.7998,-0.09%
13-11-2020,12659.7002,12735.9502,12607.7002,12719.9502,0.47%
17-11-2020,12932.5,12934.0498,12797.09961,12874.2002,-0.45%
18-11-2020,12860.09961,12948.84961,12819.34961,12938.25,0.60%
19-11-2020,12839.5,12963,12745.75,12771.7002,-0.53%
20-11-2020,12813.40039,12892.4502,12730.25,12859.0498,0.35%
23-11-2020,12960.2998,12968.84961,12825.7002,12926.4502,-0.26%
24-11-2020,13002.59961,13079.09961,12978,13055.15039,0.40%
25-11-2020,13130,13145.84961,12833.65039,12858.40039,-2.11%
26-11-2020,12906.4502,13018,12790.40039,12987,0.62%
27-11-2020,13012.0498,13035.2998,12914.2998,12968.9502,-0.33%
01-12-2020,13062.2002,13128.40039,12962.7998,13109.0498,0.36%
02-12-2020,13121.40039,13128.5,12983.5498,13113.75,-0.06%
03-12-2020,13215.2998,13216.59961,13107.90039,13133.90039,-0.62%
04-12-2020,13177.40039,13280.0498,13152.84961,13258.5498,0.61%
07-12-2020,13264.84961,13366.65039,13241.9502,13355.75,0.68%
08-12-2020,13393.84961,13435.4502,13311.0498,13392.9502,-0.01%
09-12-2020,13458.09961,13548.90039,13449.59961,13529.09961,0.52%
10-12-2020,13488.5,13503.5498,13399.2998,13478.2998,-0.08%
11-12-2020,13512.2998,13579.34961,13402.84961,13513.84961,0.01%
14-12-2020,13571.4502,13597.5,13472.4502,13558.15039,-0.10%
15-12-2020,13547.2002,13589.65039,13447.0498,13567.84961,0.15%
16-12-2020,13663.09961,13692.34961,13606.4502,13682.7002,0.14%
17-12-2020,13713.5498,13773.25,13673.5498,13740.7002,0.20%
18-12-2020,13764.40039,13772.84961,13658.59961,13760.5498,-0.03%
